"業務分類","業務種別","タスク順","マトリクス横軸","ヒートマップグループ","ヒートマップステップ","タスク名","業務内容詳細","1件あたり所要時間_分_仮案","1件あたり所要時間_分_ヒアリング後","人手の負担_仮案","人手の負担_ヒアリング後","月間件数","現状課題","確認したいこと","クライアント回答","As-Isフロー更新内容_業務分類","備考"
"経理体制・帳簿管理","経理体制整備","1","担当者任命","承認・確認","承認・確認","経理担当者任命","理事長が会計責任者・出納職員・予算管理責任者・固定資産管理責任者を任命する。辞令や職務分掌規程に反映する。","30（仮）","","低","","","役割の重複・兼務が多い小規模法人では負担集中が起きやすい","質問: 任命手続きの記録（辞令・議事録）はどこで管理していますか / 回答例: 理事会議事録に記録し、職務分掌規程ファイルに綴じている 質問: 経理担当者の任命は実際には辞令等の文書で記録していますか。口頭・慣例のみになっていませんか / 回答例: 理事会議事録に記録しているが、辞令は発行していない","","",""
"経理体制・帳簿管理","経理体制整備","2","職務分掌確認","情報収集・照合","情報収集・照合","職務分掌範囲確認","会計責任者が出納職員を監督し、各サービス区分の担当範囲と権限委譲の境界を確認する。","20（仮）","","低","","","書面化されていない場合に口頭依存になりやすい","質問: 職務分掌は文書化されていますか。承認権限（金額上限等）は規程に明記されていますか / 回答例: 経理規程第3条に承認権限一覧を明記している 質問: 職務分掌規程と実際の担当が異なる場合（兼務等）の取り扱い・規程改定の手順を教えてください / 回答例: 兼務はやむを得ない場合のみ理事長承認とし、年度末に規程を見直す","","",""
"経理体制・帳簿管理","経理体制整備","3","監督体制確認","承認・確認","承認・確認","監督体制定期確認","会計責任者が出納職員の業務遂行状況を定期的に確認し、逸脱がないかチェックする。","30（仮）","","低","","","要確認","質問: 内部牽制のチェック頻度（月次・四半期等）と確認手順を教えてください / 回答例: 月次で試算表確認時に出納記録を照合している 質問: 内部牽制チェックで逸脱が見つかった場合の是正指示・記録の手順を教えてください / 回答例: 会計責任者が是正指示を文書で出し、対応結果を翌月のチェックで確認する","","",""
"経理体制・帳簿管理","帳簿・帳票管理","1","帳簿一覧整備","情報収集・照合","情報収集・照合","帳簿一覧整備","出納職員が仕訳日記帳・総勘定元帳・小口現金出納帳・固定資産管理台帳等の必要帳簿を一覧化し整備する。","30（仮）","","低","","","要確認","質問: 帳簿の整備・更新は年度初めのみですか。帳簿の追加・廃止の承認手順はありますか / 回答例: 年度初めに一括確認し、変更は会計責任者承認のうえ更新する 質問: 帳簿の整備・設定確認は実際には年度初めの一度だけですか。年度途中の科目追加など随時変更も発生していますか / 回答例: 年度初めに一括確認するが、補助金の新設等で年2〜3回は途中変更がある","","",""
"経理体制・帳簿管理","帳簿・帳票管理","2","会計システム設定確認","情報収集・照合","情報収集・照合","会計システム設定確認","出納職員が会計システムの勘定科目・サービス区分・帳票出力設定を確認し、年度設定を行う。","60（仮）","","中","","","設定変更時の確認作業が属人化している","質問: 会計システムの設定変更（科目追加・区分変更）はどのような手順で承認・反映しますか / 回答例: 担当者が変更案を作成し、会計責任者承認後にシステムへ反映する 質問: 会計システムの設定変更（科目追加・区分変更）の承認・反映手順を教えてください / 回答例: 担当者が変更案を作成し、会計責任者承認後にシステムへ反映する 質問: 設定変更が差戻しになった場合の修正・再承認の手順を教えてください / 回答例: 出納職員が変更案を修正し、会計責任者が再確認のうえ承認する","","",""
"経理体制・帳簿管理","帳簿・帳票管理","3","帳票出力確認","承認・確認","内容確認","帳票出力テスト確認","会計責任者が会計システムからの帳票出力内容（試算表・元帳等）に誤りがないか確認する。","30（仮）","","低","","","要確認","質問: 帳票出力に誤りが見つかった場合の設定修正の担当と手順を教えてください / 回答例: 出納職員が設定を修正し、会計責任者が再出力で確認する","","",""
"予算管理","当初予算編成","1","事業計画情報収集","情報収集・照合","情報収集・照合","事業計画情報収集","予算管理責任者が次年度事業計画・現場ヒアリング・承認済み社会福祉充実計画を収集し予算編成の基礎資料を整える。","120（仮）","","高","","","各部門からの情報収集に時間がかかり、漏れが生じやすい","質問: 各部門からの予算要求の提出方法（Excel・口頭等）と締め切り管理手順を教えてください / 回答例: 各部門がExcelの所定様式に記入し期日までに提出、未提出は予算管理責任者がリマインドする 質問: 予算要求が期限までに提出されない部門への督促・対応手順を教えてください / 回答例: 予算管理責任者が期限翌日にリマインドし、1週間遅延で理事長へ報告する","","",""
"予算管理","当初予算編成","2","予算案作成","計算・作成","計算・作成","資金収支予算案作成","予算管理責任者が勘定科目単位で収入予算・支出予算を積算し、法人全体またはサービス区分ごとに予算案を作成する。会計システムまたはExcelを使用。","180（仮）","","高","","","前年度データの参照と今年度変更点の反映に多くの手作業が発生する","質問: 前年度実績を予算案に引き継ぐ際の手順（コピー・入力等）と差額分析の方法を教えてください / 回答例: 会計システムから前年度試算表をCSVで出力しExcelに貼り付けて増減を手入力している 質問: 予算の積算は実際には会計システム上で行っていますか。Excelで積算してからシステムへ転記していますか / 回答例: Excelで積算し、確定後に会計システムへ手入力で転記している","","",""
"予算管理","当初予算編成","3","理事会承認","承認・確認","承認・確認","予算理事会承認","理事長が編成した予算案を理事会へ提出し承認を得て予算を確定する。議事録に承認記録を残す。","60（仮）","","中","","","要確認","質問: 理事会承認前に予算案の修正が入る頻度と、修正後の再提出手順を教えてください / 回答例: 修正要求があれば予算管理責任者が修正し、理事長確認後に再提出する 質問: 理事会で予算案が差戻しになった場合の修正・再上程の手順を教えてください / 回答例: 指摘事項を修正し、臨時理事会または書面決議で再承認を得る 質問: 理事会提出前に予算案の修正が入る場合の修正・再確認の手順を教えてください / 回答例: 修正要求があれば予算管理責任者が修正し、理事長確認後に再提出する","","",""
"予算管理","当初予算編成","4","予算確定登録","システム入力","システム入力","確定予算システム登録","予算管理責任者が承認済み予算を会計システムの予算管理機能へ入力する。","60（仮）","","中","","","会計システムへの入力が手作業で誤りが生じやすい","","","",""
"予算管理","補正予算管理","1","予算差異確認","情報収集・照合","情報収集・照合","予算執行差異確認","予算管理責任者が月次試算表と予算管理表を照合し、予算差異や変更事由を確認する。会計システムの予算対実績レポートを使用。","60（仮）","","中","","","差異の原因調査に手間がかかり、補正要否判断が遅れることがある","質問: 予算差異のしきい値（例: ±10%以上）や補正予算提出の判断基準は規程に定まっていますか / 回答例: 経理規程で予算額の10%以上の乖離が生じた場合に補正予算を検討する旨を定めている 質問: 補正予算を検討する乖離のしきい値（例: 予算額の±10%）や判断基準は規程に定まっていますか / 回答例: 経理規程で予算額の10%以上の乖離が生じた場合に補正予算を検討する旨を定めている 質問: 予算対実績の照合は実際には毎月行っていますか。四半期ごと等にまとめて確認していませんか / 回答例: 実際は四半期ごとに確認し、月次では大きな科目のみ見ている","","",""
"予算管理","補正予算管理","2","補正予算案作成","計算・作成","計算・作成","補正予算案作成","予算管理責任者が変更事由をもとに補正予算案を作成しExcelで整理する。","120（仮）","","高","","","要確認","","","",""
"予算管理","補正予算管理","3","理事会提出・承認","承認・確認","承認・確認","補正予算理事会承認","予算管理責任者が補正予算案を理事会へ提出し承認を得て確定する。","60（仮）","","中","","","要確認","質問: 補正予算の承認が次回理事会まで間に合わない支出が生じた場合、実際にはどのように執行していますか（理事長専決等） / 回答例: 理事長専決で先行執行し、直近の理事会で事後承認を得ている 質問: 補正予算が理事会で差戻しになった場合、または次回理事会まで承認が間に合わない場合の執行手順を教えてください / 回答例: 緊急時は理事長専決で先行執行し、直近の理事会で事後承認を得る","","",""
"収納事務","請求・収納","1","請求データ作成","計算・作成","計算・作成","請求データ作成","出納職員が補助金・利用料・サービス報酬などの請求データを請求システムで作成する。利用実績データを参照する。","30（仮）","","中","","","利用実績の突合作業が手動で発生する","質問: 請求データ作成の元データ（利用実績）はどのシステムから取得しますか。自動連携はありますか / 回答例: 利用実績システムからCSVで出力し請求システムへ手動で取り込んでいる 質問: 利用実績データは実際にはどのように請求システムへ反映していますか。自動連携ですか、CSV出力・手入力ですか / 回答例: 利用実績システムからCSVで出力し請求システムへ手動で取り込んでいる","","",""
"収納事務","請求・収納","2","請求内容確認","情報収集・照合","情報収集・照合","請求内容確認","出納職員が請求額・利用者負担・補助金等の内容を確認し、誤りがないかチェックする。","20（仮）","","中","","","確認項目が多く見落としが発生することがある","質問: 請求内容に誤りが見つかった場合の修正・再確認の手順を教えてください / 回答例: 出納職員が請求システム上で修正し、修正箇所を再確認してから発行する","","",""
"収納事務","請求・収納","3","請求書発行","計算・作成","文書・帳票作成","請求書発行・送付","出納職員が請求システムから請求書または請求書兼領収書を出力し、利用者・関係機関へ送付または手渡しする。","10（仮）","","低","","","要確認","質問: 請求書の送付方法（郵送・電子・手渡し）と受領確認の手順を教えてください / 回答例: 利用者へは手渡し、行政機関へは郵送または電子申請で提出する 質問: 請求書の発行前に出納職員以外の確認・承認は実際にはありますか / 回答例: 金額の大きい行政請求のみ会計責任者が発行前に確認している","","",""
"収納事務","請求・収納","4","入金確認","情報収集・照合","情報収集・照合","入金確認・照合","出納職員が銀行口座の入金を確認し、請求リストと照合して入金消込を行う。","20（仮）","","中","","","入金消込が手作業で漏れが生じやすい","質問: 入金消込の手順（システム照合か手作業か）と未入金時の対応フローを教えてください / 回答例: 通帳を見ながら請求リストに手入力で消込する。未入金は期日翌日に電話確認する 質問: 未入金が発生した場合の督促手順（連絡方法・タイミング・記録）を教えてください / 回答例: 期日翌日に電話確認し、督促記録を請求リストの備考に残す","","",""
"収納事務","現金収納","1","現金受領","情報収集・照合","受付・申請","現金受領・収納確認","出納職員が利用者または関係者から直接現金を受け取り、収納内容（金額・名目）を確認する。","5（仮）","","低","","","要確認","質問: 現金収納時の確認手順（二人立会い等）はありますか / 回答例: 出納職員と会計責任者の二人で金額を確認してから領収書を発行している 質問: 現金受領時は実際には二人立会い等の確認体制を取っていますか。出納職員一人で受領していますか / 回答例: 原則一人で受領し、金額の大きい場合のみ会計責任者が立ち会う 質問: 受領額が請求額と一致しない場合（過不足）の対応手順を教えてください / 回答例: その場で本人へ確認し、不足分は後日受領、過剰分は即時返金する","","",""
"収納事務","現金収納","2","領収書発行","計算・作成","文書・帳票作成","領収書発行","出納職員が福祉サービス利用者負担金収納時に領収書を発行し手渡しする。領収書控えを保管する。","5（仮）","","低","","","要確認","","","",""
"収納事務","現金収納","3","預入処理","システム入力","システム入力","収納現金預入","出納職員が収納した現金を経理規程の期日内に金融機関へ預け入れる。振込票・入金明細を取得する。","30（仮）","","低","","","預入タイミングが経理規程で定まっているが、件数が少ない日の手間が大きい","質問: 現金の預入は実際には何日ごとに行っていますか。経理規程の期日どおりに運用できていますか / 回答例: 規程上は翌営業日だが、実際は週2回まとめて預け入れている 質問: 現金の預入は実際には経理規程の期日どおりに行えていますか。週次等でまとめて預け入れていませんか / 回答例: 規程上は翌営業日だが、実際は週2回まとめて預け入れている","","",""
"収納事務","会計伝票作成","1","収納伝票入力","システム入力","システム入力","収納伝票会計入力","出納職員が入金確認後に会計システムで収納に係る会計伝票を作成・入力する。科目・金額・補助科目を確認してから登録する。","10（仮）","","中","","","手入力による転記ミスが発生しやすい","質問: 収納伝票の入力は入金の都度行っていますか。実際にはまとめて入力していますか / 回答例: 実際は週1回まとめて入力している 質問: 収納伝票の入力は実際には入金の都度行っていますか。週次等でまとめて入力していますか / 回答例: 実際は週1回まとめて入力している 質問: 伝票入力の誤りに気づいた場合の訂正手順（訂正伝票・上書き等）を教えてください / 回答例: 登録前は修正入力、登録後は赤伝票で訂正し履歴を残す 質問: 収納伝票の登録後に出納職員以外による承認・確認ステップは実際にはありますか / 回答例: 月次で会計責任者が仕訳日記帳を確認しており、伝票単位の承認はない","","",""
"収納事務","会計伝票作成","2","収納証憑保管","記録・報告","保管・管理","収納証憑整理・保管","出納職員が領収書控え・入金明細・会計伝票を整理して月別ファイルに保管する。","10（仮）","","低","","","紙証憑の保管・検索に手間がかかる","","","",""
"支払・契約事務","支払処理","1","購入・支払起案","情報収集・照合","受付・申請","購入・支払起案","契約担当者または担当者が物品購入や修繕工事の発注前に稟議書・購入依頼書を作成し、会計責任者へ起案する。","15（仮）","","中","","","起案書類の様式が統一されておらず確認に手間がかかる","質問: 購入・支払起案の承認フロー（金額別の承認者・決裁権限）を教えてください / 回答例: 5万円未満は会計責任者承認、5万円以上は理事長承認が必要 質問: 起案承認が却下された場合の差戻し先と修正後の再承認手順を教えてください / 回答例: 起案担当者へ差戻し、修正後に会計責任者が再承認する","","",""
"支払・契約事務","支払処理","2","請求書照合","情報収集・照合","情報収集・照合","請求書・証憑照合","出納職員が請求書・契約書・稟議書・購入依頼書・納品書等を照合し、金額・品目・支払先の一致を確認する。","20（仮）","","高","","","照合すべき書類が多く、目視確認では見落としが起きやすい","質問: 請求書と稟議書・納品書の内容が一致しない場合の確認先（担当者・取引先）と対応手順を教えてください / 回答例: 出納職員が担当者または取引先に問い合わせ、修正請求書または稟議書の差替えで対応する","","",""
"支払・契約事務","支払処理","3","支払承認","承認・確認","承認・確認","支払情報承認","会計責任者が担当者作成の支払情報を請求書と再照合して承認する。承認記録を支払一覧表に記録する。","10（仮）","","中","","","要確認","質問: 支払承認が却下された場合の差戻し先と修正後の再承認手順を教えてください / 回答例: 起案担当者へ差戻し、修正後に会計責任者が再承認する","","",""
"支払・契約事務","支払処理","4","振込実行","システム入力","システム入力","振込実行","出納職員が承認済み支払情報をもとに総合振込またはインターネットバンキングで支払を実行する。振込控えを取得する。","15（仮）","","中","","","振込情報入力は手作業で、ミスが発生するリスクがある","質問: 振込は実際には承認の都度実行していますか。月内の支払日にまとめて実行していますか / 回答例: 月2回の支払日にまとめて実行している","","",""
"支払・契約事務","支払処理","5","支払伝票入力","システム入力","システム入力","支払伝票会計入力","出納職員が振込実行後、会計システムで支払に係る会計伝票を作成・入力する。科目・金額・補助科目を確認してから登録する。","10（仮）","","中","","","手入力による転記ミスが発生しやすい","","","",""
"支払・契約事務","契約事務","1","契約種類確認","情報収集・照合","情報収集・照合","契約方式確認","契約担当者が契約金額・内容に応じた手続き（入札契約か随意契約か）を経理規程・契約規程に照らして確認する。","15（仮）","","中","","","契約方式の判断が属人的になりやすい","質問: 随意契約を選択する基準（金額上限・理由）は規程に明文化されていますか / 回答例: 少額随意契約の上限金額を契約規程に定めており、上限超過は理事長の承認が必要 質問: 随意契約を選択できる基準（金額上限等）は規程に明文化されていますか。基準超過時の手続は何ですか / 回答例: 少額随意契約の上限金額を契約規程に定めており、上限超過は理事長の承認が必要","","",""
"支払・契約事務","契約事務","2","見積徴取・比較","情報収集・照合","情報収集・照合","見積徴取・比較検討","契約担当者が随意契約で原則3社以上の見積を徴取し、金額・条件を比較検討する。見積書を保管する。","60（仮）","","高","","","複数社見積の取得と比較検討が手作業で負担が大きい","質問: 見積が3社集まらない場合の取り扱い（理由書作成・少数社での続行等）を教えてください / 回答例: 市場に業者が少ない場合は理由書を作成し会計責任者の承認を得て2社で進める 質問: 契約先の決定は実際には誰が承認していますか。金額により承認者が変わる運用になっていますか / 回答例: 実際は金額にかかわらず理事長が最終決裁している 質問: 契約先決定の承認者は誰ですか。金額により承認者（会計責任者・理事長）が変わりますか / 回答例: 100万円未満は会計責任者、100万円以上は理事長が決裁する","","",""
"支払・契約事務","契約事務","3","契約書作成","計算・作成","文書・帳票作成","契約書作成","契約担当者が契約先決定後、標準契約書または業者指定様式で契約書を作成し双方が署名・捺印する。","60（仮）","","高","","","契約書の条件確認や修正に時間がかかる","質問: 契約書の作成・修正は内製ですか、外部専門家（弁護士等）に依頼しますか / 回答例: 標準様式は内製、特殊条件は顧問弁護士に確認してから作成している","","",""
"支払・契約事務","契約事務","4","履行確認","情報収集・照合","情報収集・照合","契約履行確認","契約担当者が納品書・納品物・業務報告書等で契約内容の履行を確認し、支払依頼書を起案する。","20（仮）","","中","","","要確認","質問: 納品物が契約内容と異なる場合の対応（是正依頼・受領拒否・検収保留等）の手順を教えてください / 回答例: 契約担当者が業者へ是正を依頼し、再納品まで検収を保留する","","",""
"現金管理","小口現金支払","1","小口支払申請受付","情報収集・照合","受付・申請","小口支払申請受付","出納職員が小口現金から支払う申請（口頭・申請書）や領収書を受け付け、支払内容・金額・申請者を確認する。","5（仮）","","低","","","申請方法が口頭や紙と混在しており記録が不統一","質問: 小口支払の申請方法（口頭・紙・メール等）と承認者を教えてください / 回答例: 申請書に記入して出納職員へ提出し、事前に上長口頭承認を得る 質問: 小口支払の申請は実際には事前申請ですか。立替払い後の事後精算が発生していますか / 回答例: 少額は事後精算が多く、領収書持参で精算している","","",""
